,0
776,Adjustments to Exposures   <b>Membership Bonus<
1234,Reviews in the New Year.
3075,Training : Organizational Announcement.
2965,"Improvements to GCP Process - October 11, 2001."
2401,Suggestion for the Morning Meeting TODAY.
2574,Consumption  - An Appeal from Natural Gas.
1204,Task Force Report on Electric Power.
1644,Determining the best course of action for.
765,Adjustments to Rates for March of Dimes!.
109,Meeting - Tuesday November 1st.
1364,Election Update (08/24/2001).
2591,Staff ing for the Week of October 27 - 31.
214,Opportunity to Change Your Electricity Provider.
2202,Nuclear Alert: Possible terrorist attack.
3240,Distribution of Schedules for December 26-28.
1727,Management Conference - April 19th.
691,"Notification from the Houston Ship Channel November 13,."
1647,Determining the Cost of Life Insurance for Your Wife.
2619,Staff Meeting.
2157,Offpeak Weekly Information: 10% off your favorite golfers.
2185,Offpeak - November 9.
3213,Announcement to Move Your Dell PC from the D:/home/to.
1268,Reviews - April.
3050,Certification Letter.
807,Followup Meeting with Edison - Thursday.
1174,Transition of Price Cap Issues to Open Season!.
45,Change of address - Venezuela Office.
2689,Responses to PUC Questions on the Prospect of a Strong.
218,Opportunity Announcement.
2073,Peak Prices.
408,"Cancelled : Wednesday, December 28, 2000."
1557,Arrangements to improve customer reception.
1798,Profits of trading.
1298,Upcoming Events for the  Membership Rewards</em> <em
3176,Corporate Compliance Bulletin.
332,Details of the Meeting on Tuesday.
251,Reschedule  FERC Report.
1588,Developing Energy Resources For Your Energy Independence and.
2356,Expedited Procedures for Prepaid Contracts.
3185,Corporate Policy Committee Update.
2755,"Official Selection Notice - April 9, 2001."
564,Tickets to The Best.
1467,Performance Testing.
2804,Verification of the Unsigned Signatures <o>http://www.hoosie
1465,Performance Management: New Report.
1075,Revision to your eos password.
2437,Registration confirmation - XMS (Expense Management System).
2726,"Official Outing for March 31, 2001 - Please read."
2405,Suggestion for Floor Meeting Locations -.
2672,"Deregulation Update #1  January 18, 2001."
2208,Nuclear Alert.
554,Preference  - Universal Response to RFB.
2810,Verification Process Meeting -  February 12th..
567,Tickets for the New Xcelerator Event <o>http://www.nec
0,Change of Ownership Diligence.
921,Rebate to PGE for 2002 <p>Thanks for the Memories.
1783,Profits - Real Estate Finance (04/24/2001).
3283,Affiliate Board Position Report.
2475,Registration Confirmation - CERAWeekly.
2421,Suggestion : implementing an API that allows for easier.
393,Cancelled - NewPower's Notice of Implementation.
847,Roundtable on ERCOT (and the rest of  the
3220,Announcement Regarding New York Regulatory Issues.
211,Opportunity for Energy.
1366,Election Update 07.15.01. <br> <br> <br> <br>
346,NetCo HR News.
270,Reschedule for today (8/11) at 10.15 am.
642,Digital Power Trading - Credit Report.
2374,Expedited Scheduling Coordinator Information.
729,Changes to this memo....<br> <i>Membership Rewards</i> <a href
1483,Performance Review Process - Universal Online.
1565,"Developing Business in Transition <i>Daily Energy News</i>  Monday, October 19."
149,Thoughts on California.
3038,"Certification Requested - Sierra Pacific Power Co., NM."
501,Schedules and Scheduling - Correction.
1844,"Southern Trails  -  June 19-22,  NYC."
612,Digital Power Demand Growth: A Brief Update.
940,Rebate for Receipts <o>.
3082,Training Available Tuesday for Houston ETS Employees.
2117,Delays in Southern California - CAISO Notice.
33,Change of Control Provisions.
179,Thoughts on New Carriers  California - Nov 15 Order
1320,Controls for Power Plant Valuation (R.00-11-002).
1915,Contract Approval Request.
1877,Default on Transmission Contracts.
247,Reschedule -  HPL/HPL Outstanding Invoices - Oct 19th.
1003,Answer to your questions in this thread.
862,Roundtable of Universal's employees and consultants.
1286,Upcoming Wellness Activities.
3126,Deleted !<br>Universal Announces Plans to Merge with Dynegy.
2218,"Nuclear Update Updated:</em> February 3, 2001."
1376,Election 2000 Update [06.02.01] <s> <b>The Daily Tease<
1789,Profits from Universal's 2002 Strategic Plan.
839,Followup - Follow up - (no subject).
1091,Preparations for your Next Transmission Conference.
596,"Tickets for Tuesday, December 13th."
442,Confirmation of your order.
3181,Corporate Secretary's Training.
2379,Expedited Reporting-Please see attached.
810,Followup on Research Meeting in Houston.
2794,Verification Process.
2175,Offpeak Trading -  Comments from Staff and Customer.
2743,Official Woodlands Regional Outage Report - November 2001.
188,Thoughts on CUBR.
1874,Default Position.
1397,Election Update.
2666,Deregulation : The final word.
2923,Nominations  for February 18th.
2847,Termination Request for  Altra Energy LLC  A Program for eSource Presents.
727,Changes in West Power Prices.
1392,Election concession & retraction parody. Has good audio also..
1964,Accountability Guidelines.
2325,Community News Update (11-22-2001).
2066,Peak Week Ahead - October 18th to October 26th.
324,Details about the new WTC Construction System.
463,"Confirmation of Meeting - Monday, December 7 at 8:00 AM."
1552,Arrangements for Meeting next Tuesday.
246,Reschedule for Monday morning and Tuesdays.
58,New est Employee Selection.
831,Followup <br>EPMI Comments on Draft High-Tech Response to the.
2299,Community Partners.
411,Cancelled : Lunch - Lunch today with Dan Curry.
449,Confirmation :  EES /  EPMI Confirms.
657,Notification to Trading Coordinators.
3285,Affiliate Codes for Your Enfolio -.
157,Thoughts on ENA and PG&E Bilateral Negotiation.
1497,Performance Review Meeting - Wednesday November 10.
1061,Revision to the NCL Tariff Amendment to the ENR-DOJ Order.
2718,Responses to PUC Protest.
978,Question able Mail/Suspicious Packages.
457,Confirmation of your order<br>PG&E - I'll call you.
1971,Accountability Notice.
1883,Default Provider Notification - ENA.
2132,Delays in the CPUC Proceeding.
1641,Determining the Right Phone Number.
1090,Preparations for Weekend Outage Report.
621,Digital Signatures - Gas Daily News.
527,Preference Call on Friday at 8pm PDT.
274,Reschedule lunch with us!.
1948,Contract Exchange Website - <br> <br> <b
881,Roundtable on the Issues to be Presented at the ALEC conference.
2333,Community Survey Approved - Universal.
1377,Election Update<br>Calls to Heaven.
2486,Contracting with Texas and Other Public Utility.
175,Thoughts on the ORA Report.
1323,Controls group   Commercial Use</em> -
3012,Certification from PricewaterhouseCoopers <oath>.
3197,Announcement Regarding Security.
2276,Negative energy prices: the game.
718,"Changes in Hours and P&L for December 28, 2001."
2183,Offpeak for the week of May 23-26.
416,Cancelled - RTO Week -- Downgrade News.
1793,Profits from ERCOT Portal Services Agreement.
3269,Distribution List<br>Thanks to:<br> <b>TGS News: <b
1592,Developing Tomorrow's Business Outlook - Organizational Announcement.
1228,"Task List 1st and last day adjustments, etc.."
1873,Default Protocol.
1894,Default Provider Status.
511,Schedules for week of 11/1-11/4.
759,Adjustments to the November Earnings Release.
999,Answer this Question: <ed>Finance Week: The Politics Line.
1272,Upcoming Conferences.
1255,"Reviews  to be posted on Monday, September 6."
2010,Realtime Options Trading - Gas Market.
2408,Suggestion for next week's meeting.
315,Details for Saturday's presentation at.
507,Schedules for next week.
2115,Delays in Universal's Credit Reserve System.
889,Roundtable Meeting.
829,Followup from Steve Kornkopf in our  Teleconference today.
1220,Task List for ENA.
1815,Southern Trails Annual Weekend Outage Report.
2998,Improvements for Unify.
1161,Transition Analysis Report for week of June 9.
1041,Revision #2--Bridal Pines Oil Tanks.
1590,Developing Energy Products - News and Updates.
1447,"Interstate Gas Systems, Inc., Universal North America Corp.."
1536,Arrangements for Future Conference Call - Universal.
937,Rebate for the fact that you lost your job<br> <br> <br> <br
296,Details of Press Conference with Palmer  tomorrow.
1978,Accountability Pilot Program Briefing: The Case for Open Season
1402,Election Update!.
1509,Performance Management.
605,"Tickets to ENA, PRICE SCRANGERS: E"
2562,Consumption <i>Subject: Dabhol - An Indicated Subversa.
266,"Reschedule for Saturday, January 23:."
1491,Performance Review: <<Concur Expense Document>> - November.
196,"Opportunity for Iris Mack on eSpeak Thursday, May 3."
402,Cancelled - New Version of Stack Manager Available.
2309,Community Calendar.
1426,"Interstate Gas Association, Inc.."
3209,Announcement - Energy Institute.
88,New Jersey Daily Energy Report is now live.
278,Reschedule for today's meeting.
1437,"Interstate Pipelines News: October 22, 2001: Universal."
166,Thoughts on Termination Date.
2560,Consumption Charges for the Week of May 4th thru May 7th!.
1068,"Revision to our ""Got Your Back""."
2909,"Storage Auction Notice:  <i>Membership Rewards</i> <a href=""http://ww"
2801,Verification Request<br> <br> <br> <br> <br> <br>
2850,Termination Log - 10/31/01.
2490,Contracting Basics: A New Method for Buying Power.
3326,Affiliate Services Agreement - Opal Energy.
2899,Storage and Power Trading.
1124,Preparations for your trip to San Antonio.
2973,Improvements to Real Time Trading Web Site.
1032,Answer This Question <i>NEW:</i> GARP.
25,Change of plans.
1128,Preparations for a trip to Omaha.
1988,Accountability Report October 2001.
3059,Training on Feb 2nd at Our Event.
2683,Responses to EOL/ICE   Request.
1926,Contract ing - Credit Watch List 2.
2377,Expedited Legal Reporting.
67,New Jersey Turnpike Notification CALL TODAY 1PM<b
2330,Community News Alert--KU Announces Nuclear-Free Nuclear.
676,"Notification - Entergy, Reliant, Etc."
2962,Improvements for West Area Generation.
2297,Community Relations Alert.
31,Change of address - Venezuela Office of the Chairman.
2414,Suggestion to the CPUC to extend penalty time for.
3087,Training for the Electric Reliability Council (ERC) -.
343,NetCo 's New Portfolio Manager<br> <br> <br> <br> <br
2541,Consumption of PUC's Energy Report.
990,Answer This Questionnaire---Opportunities for FUN!.
2803,Verification Request - 3/12/01.
2987,Improvements to Internet Explorer.
705,Notification to Employees of Bankruptcy Court Order.
670,Notification : Please Read New eService Online Service Available.
1780,Profits Analysis Software.
3311,Affiliate Compliance Report - Confirm.
2595,Staff Mtg. w/Greg Whalley.
1023,Answer to FERC's 3Q Earnings Request.
734,Changes to UBS Warburg Gas Marketing Agreement.
1001,Answer this Questionnaire---Opportunities for FUN!.
528,Preference Trade - EES / EES  <i>Membership Information Guide</i> <
176,Thoughts on FERC November 1 Order.
949,Question : Do you use Dow Jones Interactive?.
3024,"Certification for May 24, 2001."
1575,Developing your trading knowledge and experience through.
1123,Preparations for Tomorrow's Workshop.
288,Details on our collaborative testing today.
2209,Nuclear Alert <i>News From a San Diego Gas Company</i>  <b>Enro
1190,Task List & Meeting Reminder!.
177,Thoughts on the Outlook Web Access Solution.
631,Digital Power Migration--Redefinition of.
2310,Community Guidelines For All-Employee Meeting.
1211,Task List.
2419,Suggestion to the Staff of the Environmental Group.
370,NetCo 's New Logo - May 19.
1398,Election 2001.
2230,Nuclear Fuel: <o>RE: UBSW Energy Alert</o>
1754,Management Changes.
1110,Preparations for tomorrow's meeting.
3286,Affiliate Programs.
1385,Election concession & retraction parody. Has good audio also..
598,Tickets to New Citi Field and the Astros Game on.
141,Meeting on Monday - Confidential.
1632,Determining the Benefits of Limited Liability Companies  <i>Credit.
611,"Digital Power News: October 29, 2001."
1620,Determining the Difference between Intra day Loss and Day.
471,Schedules for the Week of May 12th.
859,Roundtable on Wholesale Electricity Markets.
1756,Management Report 02/14/00.
1103,Preparations - West Coast Power Users!.
2978,Improvements to your Life Insurance Program.
1395,Election Update (yesterday).
195,Opportunity Cost Analysis.
532,Preference Open Season.
3216,Announcement to New Zealand Power Trading.
2023,"Realtime , hourly earnings news from your smart phone."
1292,Upcoming Wellness Activities.
555,Preference Analysis Program Matchups -  <i>C.
602,Tickets for the Super Saturday.
2967,Improvements to SAP Process Flow.
2629,Deregulation Updates-Universal News Alert.
1535,Arrangements for Storage for May.
2457,Registration confirmation - Yahoo! Games!.
1221,Task Force Conference Call.
162,Thoughts on FERC Order.
2908,Storage Contract Termination Letters.
1074,Revision 2: Please review in order to be allocated to.
1338,Controls to Control All Telecon.
864,Roundtable Meeting Minutes.
547,Preference and Service Agreement -.
3175,Corporate Retainer Agreement with Catequil.
568,Tickets to the New Enery Theatre (11/30/01) <i>Membership Receptio
654,Digital Power Trading <oegid>.
2496,Contracting : Standard American Energy Company.
2564,Consumption <i>Membership</i> of the<i>EN</i> Community.
2458,Registration Cancellation.
1451,"Interstate Commerce - S. Washington, DC."
927,Rebate for New Power Book outing for March of.
2478,Registration Canceled.
581,Tickets for tonight.
2495,"Contracting Basics:  The Basics,  June 7, 2001."
2740,Official ized Version - New York Office AutoReply.
73,New BETA-Request! Need a favor?</eo
48,Change to Auction Procedures and NYISO Ordering.
1618,Determining Risk By Market Default<br>Caveats.
1889,Default on Reliant's Interconnection Agreement (Part 2 of.
2622,"Staff Meeting Reminder - Monday, October 15th,."
2972,Improvements for East Power.
2429,Suggestion on what to do next.
2396,Suggestion of Service.
2505,Contracting in the news.
1187,Task Force Report and Final Report Notes.
2608,Staff Meeting - Time Change.
572,Tickets for Sunday 1/22 at 5pm Central.
3074,Training for Houston Operations Personnel.
3121,Deleted  Bridgeline <oose
997,Answer #1: The truth is out there!.    <e
2749,Official Rules and Dues.
2542,Consumption Report for 10-27-01<br> <b>Daily News: New England News<
2120,Delays in California Actions that Hurt Local Business<br>Subject: <i>Membership Rewards</
3295,Affiliate Information Alert.
2335,Community Standards Request - Change of Control Provisions.
2233,Nuclear Energy Conference.
2929,Nominations : 8/22/00.
2033,"Realtime Market Forecast - Universal - May 31, 2001."
1995,Realtime Weather Prediction for 01/04/02.
2867,"Termination Notification - <i>File</i> - <a href=""http:/"
2155,Offpeak Options <ol>Cards</ol>  <b>DRAFT<
3007,Improvements for Universal Employee Relations.
2402,"Suggestion - Action Requested: <o>Daily Gas News: March 28, 200"
1322,Controls group Meeting tomorrow.
2590,"Staff Meeting Cancelled for Tuesday, December 11, 2001."
3055,"Certification Status Report  <a href=""http://www.theatlantic.com/archive/2009"
976,Question able Mail/Suspicious Packages.
2644,Deregulation 2001.
2921,Nominations for the Season's End.
1018,Answer of all uthor questions (not just.
3270,Distribution List<br> <i>Membership Benefits</i> Newsletter</i> March 18
794,Adjustments to our Standards of Conduct.
3275,Distribution List <edirc>networks.feedback.feedback.feedbac
2316,Community Manager Training.
1608,Developing Supply Supply in the Gas Market.
3151,Corporate Services Agreement.
1872,Default Provider Approval Request (Pending).
2536,Consumption of the Market<br> <i>Subject: <<Concur Expense Document>> -
2840,Termination Logs  <i>Oops!!<i>
108,Meeting Scheduled for 10 am PDT Today.
1791,Profits from Universal-HPL Contracts.
2032,Realtime Schedule and Upcoming Events.
318,Details from our meeting today.
59,New est   Membership Information Needed at Gas Logistics Customer Satisfaction.
1907,Contract Issues Reminder: REVISED-Edison wants bac
2668,Deregulation : Some Thoughts on the State of the Art.
2411,Suggestion for Floor Meeting Location.
3247,"Distribution of Funds<br>Warnings of Creditworthiness<br>AIG, JP Morgan"
678,Notification to PUC Notice of Distribution<br>Orientation:<br>Orientation
3028,Certification Request Subject: Fwd: Fw: Fw
1572,Developing an Advanced Company.
2112,Delays between ICAP and NRC on EOL.
2577,Consumption at Work<br> <i>Membership News Alert</i> <o>January
2763,Official izing New Operating Hours for the Energy Industry.
3068,Training on Friday  <paper> <paper>.
1468,Performance Management Process - New Password.
582,Tickets for Monday's game.
817,Followup - Brent Larsen.
1373,Election Update 7.20.01.
679,Notification to PX Participants.
56,New est Book Request Form.
1993,Accountability Notice.
1818,Southern Trails California Transportation Summary.
2248,Negative CTC Notice.
2898,Storage Report for 10-29-01.
468,Confirmation of your order!.
2110,Delays to Transwestern Pipeline Co..
1553,Arrangements for November.
535,Preference  - Universal.
1866,Default Time on EOL.
3123,Deleted from Last Week's List.
1047,Revision Notice:</em>  NOTICE of Changes to the Transmission Schedule.
3325,Affiliate /Parent Agreement and DASH (The Universal.
2334,Community Calendar Community Calendar.
874,Roundtable on Deregulation Analysis.
2706,Responses on the spot.
69,New YorkTimes.com Article.
3025,Certification Required<br> <i>Membership Rewards</i> - Special!.
2918,Nominations for 2002 Winter Operations Controller.
1938,Contract /Structured Services Meetings.
436,Confirmation of your order.
2770,Official izing the Gas Portfolio - CERA Alert.
